,beta,HR (95% CI for HR),wald.test,p.value
DNM2,0.68,2 (0.87-4.5),2.6,0.11
DNAJA1,-0.55,0.57 (0.29-1.1),2.5,0.11
COMTD1,-0.3,0.74 (0.52-1.1),2.5,0.11
CEL,0.22,1.3 (0.95-1.6),2.6,0.11
CADM3,-0.18,0.84 (0.67-1),2.5,0.11
C1orf203,0.33,1.4 (0.92-2.1),2.5,0.11
C10orf79,0.11,1.1 (0.98-1.3),2.6,0.11
BSPRY,-0.14,0.87 (0.74-1),2.6,0.11
ATF7IP2,0.19,1.2 (0.96-1.5),2.6,0.11
ANKFY1,-0.43,0.65 (0.39-1.1),2.5,0.11
ZNF684,0.4,1.5 (0.9-2.5),2.4,0.12
WNT2B,0.21,1.2 (0.95-1.6),2.4,0.12
VGLL3,0.16,1.2 (0.96-1.4),2.4,0.12
UBB,0.22,1.3 (0.94-1.7),2.4,0.12
TMEM81,0.34,1.4 (0.91-2.2),2.4,0.12
SUPT6H,0.95,2.6 (0.77-8.6),2.4,0.12
SIX1,0.11,1.1 (0.97-1.3),2.4,0.12
SEMA5A,0.17,1.2 (0.95-1.5),2.4,0.12
RPSAP9,-0.36,0.7 (0.45-1.1),2.4,0.12
RPS7,-0.44,0.65 (0.37-1.1),2.4,0.12
RHOF,0.15,1.2 (0.96-1.4),2.5,0.12
PTPN11,-0.39,0.68 (0.41-1.1),2.4,0.12
PSMA7,0.57,1.8 (0.87-3.6),2.5,0.12
PCMTD2,0.5,1.7 (0.88-3.1),2.4,0.12
OBSL1,-0.44,0.65 (0.37-1.1),2.4,0.12
NAPA,0.4,1.5 (0.9-2.5),2.4,0.12
MGC3771,-0.43,0.65 (0.38-1.1),2.5,0.12
LRRC43,0.14,1.1 (0.97-1.4),2.5,0.12
LAMP1,0.43,1.5 (0.9-2.6),2.4,0.12
KIAA0174,-0.75,0.47 (0.18-1.2),2.4,0.12
ITIH4,0.17,1.2 (0.96-1.5),2.5,0.12
ITGBL1,0.22,1.2 (0.94-1.6),2.4,0.12
ISM1,-0.18,0.84 (0.67-1),2.5,0.12
IPO9,0.55,1.7 (0.87-3.5),2.5,0.12
HNRNPR,0.61,1.8 (0.85-4),2.4,0.12
HIGD1A,-0.37,0.69 (0.43-1.1),2.4,0.12
HGS,-0.73,0.48 (0.19-1.2),2.4,0.12
GPAA1,-0.54,0.58 (0.3-1.1),2.5,0.12
GLUL,-0.26,0.77 (0.55-1.1),2.4,0.12
GLIPR1L2,0.23,1.3 (0.94-1.7),2.4,0.12
FGF7,0.28,1.3 (0.93-1.9),2.4,0.12
FAM71E1,0.18,1.2 (0.96-1.5),2.4,0.12
DULLARD,-0.61,0.54 (0.25-1.2),2.4,0.12
DEPDC7,-0.24,0.79 (0.58-1.1),2.4,0.12
CD81,-0.37,0.69 (0.43-1.1),2.4,0.12
CATSPER3,-0.28,0.76 (0.53-1.1),2.4,0.12
CASZ1,0.15,1.2 (0.96-1.4),2.4,0.12
CASS4,0.19,1.2 (0.95-1.5),2.5,0.12
CALB2,-0.088,0.92 (0.82-1),2.4,0.12
C19orf38,0.18,1.2 (0.95-1.5),2.4,0.12
C14orf33,-0.38,0.69 (0.43-1.1),2.4,0.12
BBS2,-0.48,0.62 (0.34-1.1),2.5,0.12
ARNT2,-0.35,0.7 (0.45-1.1),2.4,0.12
AP3D1,0.78,2.2 (0.82-5.8),2.4,0.12
ANKRD17,0.51,1.7 (0.88-3.1),2.5,0.12
ZNF137,0.31,1.4 (0.91-2),2.3,0.13
ZIC3,-0.21,0.81 (0.61-1.1),2.3,0.13
XPNPEP2,0.18,1.2 (0.95-1.5),2.3,0.13
TLR10,0.13,1.1 (0.96-1.3),2.3,0.13
TAS1R3,0.23,1.3 (0.93-1.7),2.3,0.13
SLC22A3,-0.13,0.88 (0.75-1),2.3,0.13
SEL1L,-0.44,0.64 (0.36-1.1),2.3,0.13
S100A9,0.11,1.1 (0.97-1.3),2.3,0.13
RPL13AP20,-0.25,0.78 (0.56-1.1),2.3,0.13
RGS18,0.18,1.2 (0.95-1.5),2.3,0.13
RASSF7,0.22,1.2 (0.94-1.6),2.3,0.13
PRR22,-0.24,0.78 (0.57-1.1),2.3,0.13
PLXNB1,-0.3,0.74 (0.5-1.1),2.3,0.13
PLN,-0.11,0.9 (0.79-1),2.3,0.13
PI4KB,0.89,2.4 (0.77-7.7),2.3,0.13
NCOA1,-0.5,0.61 (0.32-1.1),2.4,0.13
MBD3,0.42,1.5 (0.88-2.6),2.3,0.13
LOC168474,-0.27,0.77 (0.54-1.1),2.2,0.13
LOC148709,0.25,1.3 (0.93-1.8),2.3,0.13
KLC3,0.31,1.4 (0.91-2),2.3,0.13
KL,0.2,1.2 (0.95-1.6),2.4,0.13
KIAA1875,-0.14,0.87 (0.72-1),2.3,0.13
ITM2C,0.27,1.3 (0.93-1.8),2.3,0.13
HPSE,0.14,1.2 (0.96-1.4),2.3,0.13
GTF2H2B,-0.12,0.89 (0.76-1),2.2,0.13
GAPDH,0.4,1.5 (0.89-2.5),2.3,0.13
FBXO16,0.24,1.3 (0.93-1.7),2.2,0.13
FAM53A,0.16,1.2 (0.95-1.5),2.3,0.13
EXOC7,0.89,2.4 (0.77-7.7),2.3,0.13
DYNLL2,-0.42,0.66 (0.39-1.1),2.3,0.13
DNAJB2,-0.45,0.64 (0.36-1.1),2.3,0.13
CMTM8,0.17,1.2 (0.95-1.5),2.3,0.13
CHD2,-0.51,0.6 (0.31-1.2),2.3,0.13
CCDC148,0.23,1.3 (0.93-1.7),2.2,0.13
CAPN12,0.21,1.2 (0.94-1.6),2.2,0.13
C9orf98,-0.21,0.81 (0.61-1.1),2.3,0.13
C9orf41,0.33,1.4 (0.91-2.1),2.3,0.13
C9orf150,-0.22,0.8 (0.61-1.1),2.3,0.13
C19orf76,0.19,1.2 (0.94-1.6),2.2,0.13
C12orf26,0.41,1.5 (0.89-2.6),2.3,0.13
BMPR2,-0.46,0.63 (0.35-1.1),2.3,0.13
BHMT2,0.15,1.2 (0.96-1.4),2.3,0.13
APLNR,0.099,1.1 (0.97-1.3),2.3,0.13
ANKRD9,0.18,1.2 (0.95-1.5),2.2,0.13
AMOT,-0.18,0.84 (0.66-1.1),2.3,0.13
ACTR2,0.7,2 (0.82-4.9),2.3,0.13
ZNF442,0.35,1.4 (0.89-2.3),2.2,0.14
ZFP91,-0.62,0.54 (0.24-1.2),2.2,0.14
UBE2MP1,0.35,1.4 (0.89-2.2),2.2,0.14
UBC,0.49,1.6 (0.85-3.1),2.2,0.14
TRIM28,0.36,1.4 (0.89-2.3),2.2,0.14
TNFRSF6B,0.16,1.2 (0.95-1.4),2.2,0.14
TF,-0.13,0.88 (0.74-1),2.1,0.14
SON,0.59,1.8 (0.83-3.9),2.2,0.14
SLC25A5,-0.39,0.68 (0.4-1.1),2.2,0.14
RBM5,-0.42,0.66 (0.38-1.1),2.2,0.14
PTPRZ1,0.21,1.2 (0.93-1.6),2.1,0.14
PPP2CB,-0.56,0.57 (0.27-1.2),2.2,0.14
POM121L10P,-0.1,0.9 (0.79-1),2.2,0.14
OTUD7A,-0.19,0.83 (0.64-1.1),2.1,0.14
OPA1,-0.59,0.55 (0.25-1.2),2.1,0.14
OCLN,0.23,1.3 (0.93-1.7),2.2,0.14
NPTXR,-0.17,0.85 (0.68-1.1),2.2,0.14
NACC1,0.73,2.1 (0.79-5.4),2.2,0.14
MST1P9,-0.14,0.87 (0.71-1.1),2.1,0.14
LOC727896,0.33,1.4 (0.89-2.2),2.2,0.14
LETM2,0.36,1.4 (0.89-2.3),2.2,0.14
KLF8,0.14,1.2 (0.95-1.4),2.1,0.14
KCNS3,-0.2,0.82 (0.63-1.1),2.2,0.14
KCNJ5,0.15,1.2 (0.95-1.4),2.2,0.14
IGFBP7,0.22,1.2 (0.93-1.7),2.2,0.14
GTF2I,0.39,1.5 (0.88-2.5),2.2,0.14
GPR107,0.62,1.9 (0.81-4.3),2.1,0.14
EIF4G2,0.6,1.8 (0.83-4),2.2,0.14
EIF3CL,-0.39,0.68 (0.4-1.1),2.2,0.14
COX6A1,-0.5,0.61 (0.31-1.2),2.2,0.14
CD59,-0.38,0.69 (0.42-1.1),2.2,0.14
CCDC39,0.18,1.2 (0.94-1.5),2.2,0.14
C7orf10,-0.26,0.77 (0.54-1.1),2.1,0.14
C6orf138,0.1,1.1 (0.97-1.3),2.2,0.14
C20orf43,-0.72,0.49 (0.19-1.3),2.2,0.14
ATP5F1,0.5,1.6 (0.85-3.2),2.2,0.14
ASPH,-0.39,0.67 (0.4-1.1),2.2,0.14
APH1A,0.64,1.9 (0.81-4.4),2.1,0.14
ANO7,0.2,1.2 (0.94-1.6),2.2,0.14
AGPHD1,0.26,1.3 (0.92-1.8),2.2,0.14
ZBED1,0.36,1.4 (0.88-2.3),2,0.15
UCP3,0.26,1.3 (0.91-1.9),2,0.15
TSSK4,-0.23,0.8 (0.58-1.1),2,0.15
TMEM155,-0.075,0.93 (0.84-1),2.1,0.15
SQSTM1,0.43,1.5 (0.86-2.7),2.1,0.15
SERHL2,0.21,1.2 (0.92-1.7),2,0.15
SELT,-0.57,0.56 (0.26-1.2),2.1,0.15
SCML2,-0.19,0.83 (0.64-1.1),2.1,0.15
RSPO4,-0.17,0.84 (0.66-1.1),2.1,0.15
RPL36,-0.32,0.73 (0.47-1.1),2,0.15
RPL18,-0.26,0.77 (0.54-1.1),2,0.15
REPIN1,-0.35,0.7 (0.43-1.1),2,0.15
RBBP7,-0.48,0.62 (0.32-1.2),2.1,0.15
RANBP2,0.66,1.9 (0.79-4.7),2.1,0.15
RAF1,-0.63,0.53 (0.23-1.2),2.1,0.15
PROCA1,-0.24,0.79 (0.57-1.1),2.1,0.15
PHB,0.53,1.7 (0.82-3.5),2,0.15
NOTCH2,0.22,1.2 (0.92-1.7),2.1,0.15
NBEAL1,0.18,1.2 (0.94-1.5),2.1,0.15
MPRIP,-0.6,0.55 (0.24-1.2),2.1,0.15
LPCAT1,0.19,1.2 (0.94-1.6),2.1,0.15
LOC144571,0.22,1.2 (0.93-1.7),2.1,0.15
LOC100130557,0.21,1.2 (0.93-1.6),2.1,0.15
LAPTM4A,0.41,1.5 (0.86-2.7),2,0.15
KIF1C,-0.28,0.76 (0.52-1.1),2,0.15
IGF1,-0.17,0.84 (0.66-1.1),2.1,0.15
HNRNPUL1,0.37,1.5 (0.87-2.4),2.1,0.15
H2AFY,0.61,1.8 (0.81-4.2),2.1,0.15
H2AFV,0.53,1.7 (0.83-3.5),2.1,0.15
ELAVL3,-0.25,0.78 (0.56-1.1),2.1,0.15
DKK3,0.19,1.2 (0.93-1.6),2,0.15
DKFZp686O24166,-0.12,0.88 (0.75-1),2.1,0.15
DDAH1,-0.21,0.81 (0.61-1.1),2.1,0.15
COL4A3,0.13,1.1 (0.95-1.3),2,0.15
CELSR2,0.32,1.4 (0.89-2.1),2.1,0.15
CCDC163P,0.15,1.2 (0.95-1.4),2.1,0.15
CCDC116,-0.22,0.8 (0.6-1.1),2.1,0.15
C8orf46,-0.17,0.85 (0.67-1.1),2.1,0.15
C1orf43,-0.75,0.47 (0.17-1.3),2.1,0.15
C19orf63,0.34,1.4 (0.88-2.3),2,0.15
BAIAP2L1,0.22,1.3 (0.92-1.7),2.1,0.15
API5,-0.58,0.56 (0.25-1.2),2,0.15
AHCYL1,-0.18,0.84 (0.66-1.1),2.1,0.15
ACACA,-0.38,0.69 (0.41-1.1),2.1,0.15
ZNF389,-0.21,0.81 (0.6-1.1),2,0.16
WFIKKN1,-0.19,0.82 (0.63-1.1),2,0.16
VAMP3,0.31,1.4 (0.89-2.1),2,0.16
TRPC3,-0.14,0.87 (0.72-1.1),2,0.16
TCTE3,-0.23,0.79 (0.57-1.1),2,0.16
TAPBP,0.37,1.5 (0.86-2.5),1.9,0.16
SLC7A5,-0.3,0.74 (0.49-1.1),2,0.16
S100B,0.19,1.2 (0.93-1.6),2,0.16
RTN4RL1,-0.094,0.91 (0.8-1),2,0.16
RDH16,-0.19,0.83 (0.63-1.1),2,0.16
RBM4,-0.58,0.56 (0.25-1.3),2,0.16
PNPLA8,-0.4,0.67 (0.38-1.2),2,0.16
PLTP,0.2,1.2 (0.92-1.6),2,0.16
PDCD6IP,0.57,1.8 (0.8-3.9),2,0.16
NAV2,-0.24,0.79 (0.56-1.1),2,0.16
NAGS,0.16,1.2 (0.94-1.5),2,0.16
MLL2,0.37,1.4 (0.86-2.4),1.9,0.16
MGAM,0.13,1.1 (0.95-1.4),2,0.16
LOC729176,-0.36,0.7 (0.42-1.1),2,0.16
LOC400931,-0.18,0.83 (0.64-1.1),1.9,0.16
LOC374443,0.26,1.3 (0.91-1.8),2,0.16
INTS1,0.42,1.5 (0.85-2.7),2,0.16
INPPL1,0.31,1.4 (0.88-2.1),2,0.16
INMT,0.079,1.1 (0.97-1.2),1.9,0.16
HPN,0.096,1.1 (0.96-1.3),2,0.16
HCST,0.14,1.2 (0.94-1.4),1.9,0.16
GTF2F1,-0.63,0.53 (0.22-1.3),2,0.16
GPR44,-0.12,0.88 (0.74-1.1),2,0.16
DYNC1LI2,-0.43,0.65 (0.36-1.2),2,0.16
CD160,-0.28,0.76 (0.52-1.1),2,0.16
CCDC68,-0.16,0.85 (0.68-1.1),2,0.16
C8orf77,-0.23,0.8 (0.58-1.1),2,0.16
C1orf175,0.11,1.1 (0.96-1.3),2,0.16
C12orf72,0.39,1.5 (0.86-2.6),2,0.16
C11orf80,0.27,1.3 (0.9-1.9),2,0.16
ATP2B2,-0.17,0.84 (0.66-1.1),2,0.16
ACSL3,0.31,1.4 (0.89-2.1),2,0.16
ZNF660,0.21,1.2 (0.91-1.7),1.8,0.17
ZEB2,-0.31,0.73 (0.47-1.1),1.8,0.17
ZC3H12A,0.18,1.2 (0.92-1.6),1.8,0.17
TRPM3,0.094,1.1 (0.96-1.3),1.9,0.17
TPBG,0.12,1.1 (0.95-1.3),1.9,0.17
TEKT2,0.13,1.1 (0.94-1.4),1.9,0.17
TAF7,-0.6,0.55 (0.23-1.3),1.9,0.17
STOM,-0.19,0.83 (0.63-1.1),1.9,0.17
RPL11,-0.26,0.77 (0.54-1.1),1.9,0.17
RASGRP4,0.14,1.2 (0.94-1.4),1.8,0.17
RAD51L1,0.31,1.4 (0.88-2.1),1.9,0.17
PLIN4,0.15,1.2 (0.94-1.4),1.9,0.17
PFKFB3,-0.19,0.83 (0.64-1.1),1.9,0.17
NDFIP1,-0.51,0.6 (0.29-1.2),1.9,0.17
NAALAD2,0.1,1.1 (0.96-1.3),1.9,0.17
MAP1LC3B,-0.59,0.55 (0.24-1.3),1.9,0.17
LOC729375,-0.24,0.78 (0.55-1.1),1.9,0.17
LOC728392,0.27,1.3 (0.89-1.9),1.8,0.17
LOC100270804,-0.21,0.81 (0.6-1.1),1.9,0.17
LASS1,0.21,1.2 (0.92-1.7),1.9,0.17
KDM5C,0.41,1.5 (0.83-2.8),1.8,0.17
HP1BP3,0.39,1.5 (0.84-2.6),1.9,0.17
H3F3A,-0.33,0.72 (0.45-1.2),1.9,0.17
GNMT,-0.2,0.82 (0.62-1.1),1.9,0.17
FLJ35024,-0.16,0.85 (0.68-1.1),1.9,0.17
FAT1,-0.17,0.85 (0.67-1.1),1.9,0.17
FAM181B,-0.19,0.83 (0.63-1.1),1.8,0.17
ELMO3,-0.16,0.85 (0.67-1.1),1.9,0.17
CTNNB1,0.56,1.7 (0.79-3.9),1.9,0.17
COL28A1,0.076,1.1 (0.97-1.2),1.8,0.17
CHD7,-0.21,0.81 (0.6-1.1),1.9,0.17
CERKL,0.11,1.1 (0.95-1.3),1.9,0.17
CCT6P1,0.28,1.3 (0.89-2),1.9,0.17
CALM3,-0.26,0.77 (0.53-1.1),1.9,0.17
C9orf5,-0.43,0.65 (0.35-1.2),1.9,0.17
C6orf97,-0.13,0.88 (0.73-1.1),1.9,0.17
C3orf42,-0.29,0.75 (0.5-1.1),1.9,0.17
B3GNTL1,0.3,1.4 (0.88-2.1),1.9,0.17
ABI2,-0.47,0.62 (0.32-1.2),1.9,0.17
A1BG,0.16,1.2 (0.93-1.5),1.9,0.17
WNK4,0.14,1.1 (0.94-1.4),1.8,0.18
TUBA1A,0.31,1.4 (0.87-2.1),1.8,0.18
SSB,0.69,2 (0.72-5.5),1.8,0.18
SREBF1,-0.16,0.85 (0.68-1.1),1.8,0.18
SORT1,0.27,1.3 (0.88-2),1.8,0.18
SMAP2,-0.27,0.77 (0.52-1.1),1.8,0.18
SERINC4,-0.22,0.8 (0.58-1.1),1.8,0.18
S1PR4,0.2,1.2 (0.91-1.6),1.8,0.18
RHBDL1,-0.12,0.89 (0.74-1.1),1.8,0.18
PGR,-0.12,0.88 (0.73-1.1),1.8,0.18
PCNP,0.65,1.9 (0.74-5),1.8,0.18
METRN,-0.26,0.77 (0.53-1.1),1.8,0.18
MEI1,0.17,1.2 (0.93-1.5),1.8,0.18
MAN2A2,0.31,1.4 (0.87-2.1),1.8,0.18
LTB4R,0.21,1.2 (0.91-1.7),1.8,0.18
LOC441208,0.23,1.3 (0.9-1.8),1.8,0.18
LOC401010,0.32,1.4 (0.87-2.2),1.8,0.18
LENG8,0.2,1.2 (0.91-1.6),1.8,0.18
H2BFXP,-0.18,0.83 (0.64-1.1),1.8,0.18
FLJ39653,-0.25,0.78 (0.54-1.1),1.8,0.18
FKBP1B,0.14,1.2 (0.94-1.4),1.8,0.18
FAM66D,-0.15,0.86 (0.7-1.1),1.8,0.18
F2RL1,0.1,1.1 (0.95-1.3),1.8,0.18
EPHX4,0.12,1.1 (0.94-1.3),1.8,0.18
DENND1B,0.26,1.3 (0.88-1.9),1.8,0.18
CORT,-0.13,0.88 (0.73-1.1),1.8,0.18
CLCN3,-0.26,0.77 (0.53-1.1),1.8,0.18
CEP72,0.31,1.4 (0.86-2.1),1.8,0.18
CCNE1,0.25,1.3 (0.89-1.9),1.8,0.18
C3orf15,0.12,1.1 (0.95-1.3),1.8,0.18
BFSP1,0.13,1.1 (0.94-1.4),1.8,0.18
ATG9A,-0.71,0.49 (0.17-1.4),1.8,0.18
ANKRD19,-0.22,0.81 (0.59-1.1),1.8,0.18
AGPAT5,-0.42,0.65 (0.35-1.2),1.8,0.18
ZNF813,0.24,1.3 (0.89-1.8),1.7,0.19
ZBTB37,0.19,1.2 (0.91-1.6),1.7,0.19
WHAMML2,0.18,1.2 (0.91-1.6),1.7,0.19
VTN,-0.18,0.84 (0.64-1.1),1.7,0.19
TOLLIP,-0.28,0.76 (0.5-1.1),1.7,0.19
TNFAIP8L2,0.14,1.2 (0.93-1.4),1.7,0.19
SLFN13,0.11,1.1 (0.95-1.3),1.7,0.19
SGCB,0.27,1.3 (0.87-2),1.7,0.19
SEPP1,0.16,1.2 (0.93-1.5),1.7,0.19
RPL36A,-0.2,0.81 (0.6-1.1),1.7,0.19
RPL27,-0.25,0.78 (0.53-1.1),1.7,0.19
PTPRR,-0.079,0.92 (0.82-1),1.7,0.19
PRCD,-0.14,0.87 (0.7-1.1),1.7,0.19
MYO10,-0.28,0.75 (0.49-1.1),1.7,0.19
MFN2,0.38,1.5 (0.83-2.6),1.7,0.19
MCHR1,-0.095,0.91 (0.79-1),1.7,0.19
LOC646999,-0.21,0.81 (0.59-1.1),1.7,0.19
LOC284232,0.32,1.4 (0.85-2.2),1.7,0.19
IQSEC1,0.17,1.2 (0.92-1.5),1.7,0.19
GNG2,-0.19,0.82 (0.61-1.1),1.7,0.19
GAS7,0.14,1.2 (0.93-1.4),1.7,0.19
EIF1,-0.55,0.58 (0.25-1.3),1.7,0.19
DLEU1,0.27,1.3 (0.88-1.9),1.7,0.19
DDX12,0.14,1.2 (0.93-1.4),1.8,0.19
CYCS,0.33,1.4 (0.85-2.3),1.7,0.19
CORO1C,-0.26,0.77 (0.53-1.1),1.7,0.19
COL4A6,0.091,1.1 (0.96-1.3),1.7,0.19
CHRNA5,0.17,1.2 (0.92-1.5),1.7,0.19
CD99L2,-0.39,0.68 (0.38-1.2),1.7,0.19
C19orf71,0.27,1.3 (0.88-2),1.7,0.19
C14orf64,-0.2,0.82 (0.61-1.1),1.7,0.19
ATN1,-0.36,0.7 (0.4-1.2),1.7,0.19
ANTXR1,-0.24,0.78 (0.55-1.1),1.7,0.19
ACOX1,-0.58,0.56 (0.24-1.3),1.7,0.19
ZKSCAN3,-0.41,0.66 (0.35-1.2),1.6,0.2
VN1R1,0.21,1.2 (0.89-1.7),1.6,0.2
TIMP2,0.3,1.4 (0.85-2.2),1.6,0.2
THPO,-0.19,0.82 (0.61-1.1),1.7,0.2
TFR2,0.11,1.1 (0.94-1.3),1.7,0.2
TBCB,0.33,1.4 (0.84-2.3),1.6,0.2
TAOK2,-0.61,0.55 (0.22-1.4),1.6,0.2
SSRP1,-0.51,0.6 (0.27-1.3),1.6,0.2
SLC3A2,0.34,1.4 (0.83-2.4),1.6,0.2
SFRS11,0.31,1.4 (0.85-2.2),1.7,0.2
RTKN2,0.13,1.1 (0.93-1.4),1.6,0.2
PRRT4,-0.15,0.86 (0.69-1.1),1.7,0.2
POMC,-0.17,0.85 (0.66-1.1),1.7,0.2
POGZ,-0.48,0.62 (0.3-1.3),1.6,0.2
NTRK1,0.16,1.2 (0.92-1.5),1.6,0.2
NIPSNAP3B,0.19,1.2 (0.9-1.6),1.6,0.2
MTDH,0.48,1.6 (0.78-3.3),1.6,0.2
MST4,0.18,1.2 (0.91-1.6),1.6,0.2
LYNX1,-0.18,0.84 (0.64-1.1),1.6,0.2
LOC644936,0.31,1.4 (0.85-2.2),1.6,0.2
LOC100131434,0.14,1.2 (0.93-1.4),1.6,0.2
IDH2,-0.35,0.71 (0.42-1.2),1.7,0.2
HLA.L,0.19,1.2 (0.91-1.6),1.7,0.2
ENDOD1,0.24,1.3 (0.88-1.8),1.6,0.2
CYP4X1,-0.1,0.9 (0.77-1.1),1.7,0.2
C1orf192,0.11,1.1 (0.95-1.3),1.7,0.2
BDNF,0.083,1.1 (0.96-1.2),1.6,0.2
ASB2,0.095,1.1 (0.95-1.3),1.7,0.2
ARHGAP21,-0.34,0.71 (0.43-1.2),1.6,0.2
ACOT4,0.13,1.1 (0.93-1.4),1.6,0.2
ABL1,-0.36,0.7 (0.4-1.2),1.6,0.2
YIPF3,-0.72,0.49 (0.16-1.5),1.6,0.21
UCKL1AS,0.2,1.2 (0.9-1.6),1.6,0.21
TSGA10,0.2,1.2 (0.89-1.7),1.6,0.21
TRIM7,-0.14,0.87 (0.7-1.1),1.5,0.21
TNN,0.11,1.1 (0.94-1.3),1.6,0.21
TMX2,-0.45,0.64 (0.32-1.3),1.6,0.21
TLR9,0.22,1.2 (0.89-1.7),1.6,0.21
TKTL1,-0.091,0.91 (0.79-1.1),1.6,0.21
SYNPR,-0.061,0.94 (0.86-1),1.6,0.21
SLCO2B1,0.21,1.2 (0.88-1.7),1.5,0.21
SLC39A7,0.44,1.6 (0.78-3.1),1.6,0.21
SLC1A2,-0.11,0.89 (0.75-1.1),1.6,0.21
SFRS1,0.58,1.8 (0.72-4.5),1.6,0.21
PTGIS,0.12,1.1 (0.93-1.4),1.6,0.21
PKN1,-0.35,0.71 (0.41-1.2),1.6,0.21
PCM1,0.53,1.7 (0.75-3.8),1.6,0.21
PARK7,-0.36,0.7 (0.4-1.2),1.6,0.21
NEURL3,0.13,1.1 (0.93-1.4),1.5,0.21
MESP1,-0.24,0.79 (0.54-1.1),1.6,0.21
LPAR4,-0.13,0.88 (0.72-1.1),1.6,0.21
LOC728264,0.15,1.2 (0.92-1.5),1.6,0.21
KCNJ14,0.22,1.2 (0.89-1.7),1.6,0.21
GABPB2,0.3,1.3 (0.84-2.1),1.5,0.21
FHIT,-0.18,0.83 (0.63-1.1),1.6,0.21
CPAMD8,-0.086,0.92 (0.8-1),1.6,0.21
CHRNE,0.15,1.2 (0.92-1.5),1.6,0.21
CD72,0.16,1.2 (0.92-1.5),1.6,0.21
CANX,0.44,1.6 (0.78-3.1),1.6,0.21
CABP7,0.1,1.1 (0.94-1.3),1.6,0.21
C6orf26,0.16,1.2 (0.91-1.5),1.6,0.21
C21orf49,-0.26,0.77 (0.51-1.2),1.6,0.21
C10orf47,0.17,1.2 (0.91-1.6),1.6,0.21
ATP2C1,-0.55,0.58 (0.25-1.4),1.6,0.21
ALDH3A2,0.31,1.4 (0.84-2.2),1.6,0.21
AKAP13,0.34,1.4 (0.83-2.4),1.6,0.21
ADCY4,0.16,1.2 (0.91-1.5),1.5,0.21
ADAMTSL1,0.092,1.1 (0.95-1.3),1.6,0.21
ZNF233,-0.12,0.89 (0.73-1.1),1.5,0.22
ZNF165,0.29,1.3 (0.84-2.1),1.5,0.22
ZFAND3,-0.51,0.6 (0.26-1.4),1.5,0.22
XK,0.081,1.1 (0.95-1.2),1.5,0.22
TUBB2B,0.25,1.3 (0.86-1.9),1.5,0.22
TTLL2,-0.14,0.87 (0.69-1.1),1.5,0.22
TMEM9,-0.5,0.61 (0.27-1.3),1.5,0.22
SCRIB,0.24,1.3 (0.87-1.9),1.5,0.22
SATL1,-0.29,0.75 (0.46-1.2),1.5,0.22
RPS18,-0.25,0.78 (0.52-1.2),1.5,0.22
RASL11A,-0.21,0.81 (0.57-1.1),1.5,0.22
PPP3R1,-0.28,0.76 (0.49-1.2),1.5,0.22
PPARGC1B,0.15,1.2 (0.91-1.5),1.5,0.22
NOS2,0.12,1.1 (0.93-1.4),1.5,0.22
NHLRC2,0.19,1.2 (0.89-1.7),1.5,0.22
MGC16142,0.32,1.4 (0.83-2.3),1.5,0.22
MAP1B,0.25,1.3 (0.86-1.9),1.5,0.22
M6PR,0.28,1.3 (0.85-2.1),1.5,0.22
LTB4R2,0.26,1.3 (0.86-2),1.5,0.22
LOC728024,0.27,1.3 (0.85-2),1.5,0.22
LOC145783,0.16,1.2 (0.91-1.5),1.5,0.22
HSPA9,-0.46,0.63 (0.3-1.3),1.5,0.22
FREM1,-0.098,0.91 (0.78-1.1),1.5,0.22
FLJ42875,0.098,1.1 (0.94-1.3),1.5,0.22
DPP6,-0.27,0.77 (0.5-1.2),1.5,0.22
CDKL1,-0.19,0.83 (0.61-1.1),1.5,0.22
ATRX,0.16,1.2 (0.91-1.5),1.5,0.22
WDR45L,-0.56,0.57 (0.23-1.4),1.5,0.23
VANGL2,-0.22,0.8 (0.56-1.1),1.5,0.23
SRI,-0.31,0.74 (0.45-1.2),1.5,0.23
PTGES,0.12,1.1 (0.93-1.4),1.5,0.23
PSD3,0.18,1.2 (0.9-1.6),1.4,0.23
PRRG4,-0.13,0.88 (0.72-1.1),1.4,0.23
PPP1R2P1,-0.19,0.83 (0.61-1.1),1.5,0.23
PLA1A,0.11,1.1 (0.93-1.3),1.4,0.23
NAIP,0.16,1.2 (0.9-1.5),1.5,0.23
LOC285830,0.14,1.1 (0.92-1.4),1.4,0.23
LOC283663,0.18,1.2 (0.89-1.6),1.4,0.23
LOC149134,0.15,1.2 (0.91-1.5),1.4,0.23
HIP1,0.19,1.2 (0.89-1.7),1.4,0.23
GPT2,-0.3,0.74 (0.46-1.2),1.4,0.23
GJA1,0.12,1.1 (0.93-1.4),1.5,0.23
GHRL,0.13,1.1 (0.92-1.4),1.4,0.23
FAM27C,0.26,1.3 (0.85-2),1.5,0.23
DNAJC5,-0.45,0.64 (0.31-1.3),1.4,0.23
CSPG4,0.11,1.1 (0.93-1.3),1.4,0.23
C19orf20,0.13,1.1 (0.92-1.4),1.4,0.23
C19orf18,0.14,1.1 (0.92-1.4),1.4,0.23
AURKC,0.14,1.1 (0.92-1.4),1.5,0.23
UNC5CL,-0.19,0.83 (0.61-1.1),1.4,0.24
UBE2V1,-0.71,0.49 (0.15-1.6),1.4,0.24
TMEM160,0.21,1.2 (0.87-1.7),1.4,0.24
